Title, Source, Date, Content, URL, Category
Coronavirus: 3 parents of Singapore American School students test positive; international schools switch to remote learning,Straitstimes.com,24/3/2020,The school's superintendent said that all three parents are in good condition in the hospital; and that none of them had visited the school.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-three-parents-of-singapore-american-school-studentstest-positive,Singapore
BreadTalk cuts staff salaries amid coronavirus outbreak,Straitstimes.com,24/3/2020,SINGAPORE (THE BUSINESS TIMES) - BreadTalk Group is cutting between 10 per cent and 50 per cent of salaries temporarily as part of a cost-saving exercise amid the coronavirus outbreak; the company said on Monday (March 23).. Read more at straitstimes.com.,https://www.straitstimes.com/business/companies-markets/breadtalk-cuts-staff-salaries-amid-coronavirus-outbreak,Business
Recovering coronavirus patients sent to Mt Elizabeth Hospital; freeing beds in public hospitals for sicker patients,Straitstimes.com,23/3/2020,Recovering coronavirus patients sent to Mt Elizabeth Hospital; freeing beds in public hospitals for sicker patients straitstimes.com,https://www.straitstimes.com/singapore/health/recovering-covid-19-patients-sent-to-mt-elizabeth-hospital-freeing-beds-in-public,Singapore
Asia stocks crumble as more nations shut for business to curb coronavirus; STI dives 8.4% - The Straits Times,Straitstimes.com,23/3/2020,SYDNEY (REUTERS; BLOOMBERG) - Asian shares sank on Monday (March 23) as more countries all but shut down in the fight against the coronavirus pandemic; threatening to overwhelm policymakers’ frantic efforts to cushion what is clear to be a deep global recessi…,https://www.straitstimes.com/business/companies-markets/us-futures-plunge-to-volatility-limit-on-recession-fears-over-coronavirus,Business
S'pore residents who still go abroad may face consequences - The Straits Times,Straitstimes.com,22/3/2020,Those who choose to travel abroad despite travel advisories against doing so may face consequences; National Development Minister Lawrence Wong said yesterday.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/spore-residents-who-still-go-abroad-may-face-consequences,Singapore
Growing an ecosystem of good; Business News & Top Stories - The Straits Times,Straitstimes.com,22/3/2020,How Company of Good empowered Abry’s founder and CEO to collaborate with others to create a greater impact to help marginalised individuals and their families. Read more at straitstimes.com.,https://www.straitstimes.com/business/growing-an-ecosystem-of-good,Business
Coronavirus: 23 new cases in Singapore including 18 imported; 4 recovered,Straitstimes.com,22/3/2020,Of the five locally transmitted cases; three are linked to previous cases. One of them; Case 443; is linked to the Boulder+ climbing gym cluster which now has six cases linked to it in total.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-23-new-cases-in-singapore-including-18-imported-4-recovered,Singapore
Lockdowns not enough to defeat coronavirus; says leading World Health Organisation expert - The Straits Times,Straitstimes.com,22/3/2020,Lockdowns not enough to defeat coronavirus; says leading World Health Organisation expert The Straits Times WHOs emergency expert says lockdown not enough to combat COVID-19 - Republic World Republic World Lockdowns Not Enough To Defeat Coronavirus; Says WHO …,https://www.straitstimes.com/world/lockdowns-not-enough-to-defeat-coronavirus-says-leading-world-health-organisation-expert,World
Singapore businesses seek larger second stimulus package urgently as global economy worsens - The Straits Times,Straitstimes.com,22/3/2020,SINGAPORE - Businesses here are hoping for more support from the Government in the form of a larger second stimulus package as the global economy worsens amid the Covid-19 outbreak.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/singapore-businesses-seek-larger-second-stimulus-package-urgently-as-global-economy,Singapore
Coronavirus: Singaporean residents who travel overseas may face consequences as Govt ramps up border controls,Straitstimes.com,22/3/2020,Those who choose to travel abroad despite travel advisories may face consequences in the near future; said the Government on Sunday (March 22).. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-those-who-travel-overseas-for-holiday-may-face-consequences-as-govt,Singapore
Coronavirus: All short-term visitors barred from entering and transiting in Singapore from Monday; 11.59pm,Straitstimes.com,22/3/2020,Work pass holders and their dependents will be allowed to return to Singapore only if they work in sectors that provide essential services such as healthcare and transport.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-all-short-term-visitors-barred-from-entering-and-transiting-in,Singapore
Coronavirus: 47 new cases in Singapore; including 39 imported,Straitstimes.com,21/3/2020,This was the same figure as the number of cases reported on March 18; the highest number since the start of the outbreak.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-47-new-cases-in-singapore-including-39-imported,Singapore
Coronavirus: MOH advises doctors in Singapore to stop or defer accepting non-resident foreign patients - The Straits Times,Straitstimes.com,21/3/2020,SINGAPORE - All doctors in public and private hospitals; as well as private specialist clinics; have been advised by the Ministry of Health (MOH) to immediately stop or defer accepting new foreign patients who do not reside in Singapore.. Read more at straits…,https://www.straitstimes.com/singapore/coronavirus-moh-advises-doctors-in-singapore-to-stop-or-defer-accepting-non-resident,Singapore
Coronavirus: I didn't know I brought home more than just business cards from London; says Singapore technopreneur - The Straits Times,Straitstimes.com,21/3/2020,SINGAPORE - When Singaporean Simon Gwozdz attended a conference in London earlier this month; he did not expect to bring home more than just business cards.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/i-didnt-know-i-brought-home-more-than-just-business-cards-after-london-conference-says,Singapore
Singapore reports first two Covid-19 deaths: Health Minister Gan Kim Yong,Straitstimes.com,21/3/2020,SINGAPORE - Two patients died from Covid-19 on Saturday morning (March 21) due to complications; the first deaths the Republic has seen.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/singapore-reports-two-covid-19-deaths-health-minister-gan,Singapore
How China; S. Korea and Taiwan are using tech to curb outbreak - The Straits Times,Straitstimes.com,20/3/2020,Various apps have been created in China; South Korea and Taiwan to exploit smartphone technologies for everything from contact tracing to enforcing quarantines that require people who have been exposed to the coronavirus to stay at home.. Read more at straits…,https://www.straitstimes.com/asia/east-asia/how-china-s-korea-and-taiwan-are-using-tech-to-curb-outbreak,World
Coronavirus: PM Lee Hsien Loong live telecast on Friday night is fake news; says Govt spokesman - The Straits Times,Straitstimes.com,20/3/2020,SINGAPORE - Prime Minister Lee Hsien Loong will not address the nation on Friday night (March 20); contrary to messages circulating online that he will do so in a live telecast at 8pm.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/coronavirus-pm-lee-hsien-loong-live-telecast-on-friday-night-is-fake-news-says-govt,Singapore
Coronavirus: Cinemas here stay open; turn to new ways to sustain business - straits times,Straitstimes.com,20/3/2020,SINGAPORE (THE NEW PAPER) - Movie theatres worldwide are being shut down; but the show is going on for local cinema chains.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-cinemas-here-stay-open-turn-to-new-ways-to-sustain-business,Singapore
South Korea throws up innovative tech solutions in coronavirus fight - The Straits Times,Straitstimes.com,19/3/2020,SEOUL - A drive-through test for the coronavirus. A body steriliser installed at entrances to spray disinfectants on people walking through. A mobile app to keep track of the health status of overseas visitors.. Read more at straitstimes.com.,https://www.straitstimes.com/asia/east-asia/south-korea-throws-up-innovative-tech-solutions-in-coronavirus-fight,World
Staff 'worked while symptomatic' at US care home with 35 virus deaths - The Straits Times,Straitstimes.com,19/3/2020,LOS ANGELES (AFP) - The devastating coronavirus outbreak at a nursing home near Seattle where 35 have died was likely fuelled by infected staff members continuing to come to work; a report found on Wednesday (March 18).. Read more at straitstimes.com.,https://www.straitstimes.com/world/united-states/staff-worked-while-symptomatic-at-us-care-home-with-35-virus-deaths,World
Supercharge your career prospects with e-commerce and cyber security courses from The University of Hong Kong - straits times,Straitstimes.com,18/3/2020,From chatbots to interactive product visualisation; e-commerce has taken the retail world by storm and redefined shopping for millions of shoppers worldwide. According to global research firm Statista; online retail sales amounted to US$3.53 trillion (S$4.8 t…,https://www.straitstimes.com/singapore/education/supercharge-your-career-prospects-with-e-commerce-and-cyber-security-courses,Singapore
Coronavirus-themed cyber attacks surge as more employees forced to work from home - The Straits Times,Straitstimes.com,18/3/2020,"When someone is working form their home it is a similar threat profile as at an airport or a Starbucks; you just don't have that protection you might have in the workplace;" Ms DeGrippo said. "And if we're at home with our family where we feel safe; you migh…,https://www.straitstimes.com/world/united-states/coronavirus-themed-cyberattacks-surge-as-more-employees-forced-to-work-from-home,World
Singapore stock watch: UOB; DBS; OCBC; SIA; Genting Singapore; IReit Global - The Straits Times,Straitstimes.com,18/3/2020,SINGAPORE (THE BUSINESS TIMES) - The following companies saw new developments that may affect trading of their securities on Wednesday (March 18):. Read more at straitstimes.com.,https://www.straitstimes.com/business/companies-markets/singapore-stock-watch-uob-dbs-ocbc-sia-genting-singapore-ireit-global,Business
Coming: Eco-friendly waste collection trucks; Singapore News & Top Stories - The Straits Times,Straitstimes.com,16/3/2020,New environmentally friendly and high-tech waste collection trucks are rolling out on April 1 to service about 151;000 households in the western part of Singapore.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/coming-eco-friendly-waste-collection-trucks,Singapore
US begins first human trial of coronavirus vaccine - The Straits Times,Straitstimes.com,16/3/2020,WASHINGTON (AFP) - The first human trial to evaluate a candidate vaccine against coronavirus disease 2019 has begun in Seattle; US health officials said Monday (March 16).. Read more at straitstimes.com.,https://www.straitstimes.com/world/united-states/us-begins-first-human-trial-of-coronavirus-vaccine,World
New eco-friendly dump trucks rolling out to households in western Singapore from April 1 - The Straits Times,Straitstimes.com,16/3/2020,SINGAPORE - New environmentally friendly and high-tech waste collection trucks are rolling out on April 1 to serve about 151;000 households in the western part of Singapore.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/new-eco-friendly-dump-trucks-rolling-out-to-households-in-western-singapore-from-april-1,Singapore
New curbs won't affect Malaysians; citizens entering S'pore via land; sea - The Straits Times,Straitstimes.com,15/3/2020,Singaporeans and Malaysians travelling into Singapore from Malaysia via land or sea will be exempted from the new border restrictions on Asean countries; due to the close proximity and high inter-dependency between the two neighbours.. Read more at straitstim…,https://www.straitstimes.com/singapore/health/new-curbs-wont-affect-malaysians-citizens-entering-spore-via-land-sea,Singapore
Coronavirus: Foreign maids entering Singapore to be issued stay-home notice; affected employers to get support,Straitstimes.com,15/3/2020,SINGAPORE - All foreign domestic workers entering Singapore will be served with a 14-day stay-home notice; the Ministry of Manpower (MOM) said on Sunday (March 15).. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-foreign-domestic-workers-entering-singapore-to-be-issued-stay-home,Singapore
Singaporeans advised to defer all non-essential travel for next 30 days; as part of new Covid-19 measures - The Straits Times,Straitstimes.com,15/3/2020,All travellers entering Singapore with recent travel history to Asean countries; Japan; Switzerland or UK will be issued a 14-day stay-home notice.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/singapore-residents-advised-to-defer-all-non-essential-travel-for-next-30-days-as-part-of,Singapore
Coronavirus: Travellers from Malaysia via sea and land exempted from new border restrictions,Straitstimes.com,15/3/2020,SINGAPORE - Those travelling into Singapore from Malaysia via sea or land will be exempted from the new border restrictions on Asean countries; due to the close proximity and high inter-dependency between the two neighbours.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-travellers-from-malaysia-via-sea-and-land-exempted-from-new-border,Singapore
Coronavirus: Viral photo of nurse highlights plight of Italy's exhausted health workers - The Straits Times,Straitstimes.com,14/3/2020,ROME (AFP) - A worn-out nurse slumps over her keyboard in a widely shared image symbolic of the extreme fatigue that Italian health-care workers are facing as they battle Europe's worse outbreak of the novel coronavirus pandemic.. Read more at straitstimes.co…,https://www.straitstimes.com/world/europe/coronavirus-viral-photo-of-nurse-highlights-plight-of-italys-exhausted-health-workers,World
Bill Gates steps down from Microsoft board,Straitstimes.com,13/3/2020,NEW YORK (REUTERS) - Microsoft co-founder Bill Gates; who made the company one of the world's most valuable technology firms; stepped down from the board on Friday (March 13) to focus on philanthropic works related to global health; education and climate chan…,https://www.straitstimes.com/business/companies-markets/bill-gates-steps-down-from-microsoft-board,Business
Covid-19: S'pore rolls out more measures including limiting; where possible; size of gatherings to 250 people; workplace distancing,Straitstimes.com,13/3/2020,New measures include deferring or cancelling ticketed events with 250 participants or more; and asking employers to put in place measures such as staggering work hours.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/covid-19-singapore-rolls-out-more-measures-including-limiting-where-possible-the,Singapore
AIA reports slower new business value growth amid HK protests; coronavirus - The Straits Times,Straitstimes.com,12/3/2020,HONG KONG • Insurer AIA Group said yesterday that its growth in value of new business slowed to 6 per cent last year as anti-government protests in Hong Kong weighed on sales; and it signalled a brief but significant impact from the coronavirus outbreak.. Rea…,https://www.straitstimes.com/business/banking/aia-reports-slower-new-business-value-growth-amid-hk-protests-coronavirus,Business
Moving from manual labour to remote control tech - The Straits Times,Straitstimes.com,12/3/2020,Mr Rizal Johari; 28; is used to his work as a logistics assistant - a labour-intensive job that mostly involved the picking and packing of goods. However; the introduction of technology made his role obsolete last November; as processes became automated.. Rea…,https://www.straitstimes.com/singapore/manpower/moving-from-manual-labour-to-remote-control-tech,Singapore
China says coronavirus epidemic peak has passed...,Straitstimes.com,12/3/2020,China says coronavirus epidemic peak has passed... (First column; 11th story; link ) Related stories: Gun Sales Soar Among Asian Americans Who Fear Attacks... 'If Going To Die; Might as Well Do It At DISNEY WORLD'... SICK MAP... Drudge Report Feed needs your …,https://www.straitstimes.com/asia/east-asia/china-says-peak-of-coronavirus-epidemic-has-passed,World
Coronavirus: 9 new cases confirmed; 5 imported cases,Straitstimes.com,12/3/2020,Five of these are imported cases; and one is linked to a previous case.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-9-new-cases-confirmed-5-imported-cases,Singapore
Coronavirus: How flattening the epidemic curve will buy time and keep outbreak in check - The Straits Times,Straitstimes.com,12/3/2020,Coronavirus: How flattening the epidemic curve will buy time and keep outbreak in check The Straits Times Two children in Canada have coronavirus: How the pandemic affects kids Global News 'Flattening the curve' on COVID-19 pandemic numbers; explained CTV New…,https://www.straitstimes.com/singapore/coronavirus-how-flattening-the-epidemic-curve-will-buy-time-and-keep-outbreak-in-check,Singapore
Firms must notify MOM if salaries hit by cost-cutting - The Straits Times,Straitstimes.com,11/3/2020,Employers must notify the Ministry of Manpower (MOM) if cost-cutting measures taken during the current slowdown have affected workers' salaries; and indicate that they have done so fairly.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/manpower/firms-must-notify-mom-if-salaries-hit-by-cost-cutting,Singapore
Preventing large-scale job losses top of Manpower Ministry's priority list; says Josephine Teo - The Straits Times,Straitstimes.com,11/3/2020,SINGAPORE - Ensuring that workers keep their jobs even as the fallout from the coronavirus outbreak clouds the economic outlook is at the top of the Ministry of Manpower's (MOM) priority list; Manpower Minister Josephine Teo said on Wednesday (March 11).. Rea…,https://www.straitstimes.com/singapore/manpower/preventing-large-scale-job-losses-top-of-manpower-ministrys-priority-list-says,Singapore
Fortunes flip for tech firms in Penang amid outbreak - The Straits Times,Straitstimes.com,10/3/2020,PENANG • Tech firms in Penang; Malaysia's one-time Silicon Valley of the East; swimming in orders from customers fleeing trade war-hit China; have seen fortunes turn again in the space of just a year as the coronavirus outbreak cuts them off from Chinese supp…,https://www.straitstimes.com/business/economy/fortunes-flip-for-tech-firms-in-penang-amid-outbreak,Business
1 in 5 patients went out or carried on with work despite being ill,Straitstimes.com,10/3/2020,One in five confirmed coronavirus patients here went out despite being unwell; said Health Minister Gan Kim Yong yesterday.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/1-in-5-patients-went-out-or-carried-on-with-work-despite-being-ill,Singapore
Coronavirus: Govt agencies to suspend activities for seniors for 14 days to cut risk of transmission,Straitstimes.com,10/3/2020,This comes amid a growing number of infections linked to a Chinese New Year dinner at Safra Jurong.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/govt-agencies-to-suspend-activities-for-seniors-for-14-days-starting-march-11-to,Singapore
Honestbee retrenches 80% of staff; delays payment of salaries and CPF contributions,Straitstimes.com,10/3/2020,SINGAPORE - Struggling start-up Honestbee has retrenched about 80 per cent of its staff; in the wake of the temporary closure of its grocery store Habitat.. Read more at straitstimes.com.,https://www.straitstimes.com/business/companies-markets/honestbee-terminates-80-of-staff-delays-payment-of-salaries-and-cpf,Business
Masks in luggage: How a Malaysian tech firm reopened its China factory - The Straits Times,Straitstimes.com,10/3/2020,PENANG (REUTERS) - When news of the coronavirus outbreak spread around the world in January; officials of the Malaysian tech company Qdos quickly realised what they needed to do to keep their factory in China running: get enough surgical masks for the 800 sta…,https://www.straitstimes.com/business/companies-markets/masks-in-luggage-how-a-malaysian-tech-firm-reopened-its-china-factory,Business
In Penang; fortunes flip for tech firms as coronavirus wrecks trade war gains - The Straits Times,Straitstimes.com,10/3/2020,PENANG (REUTERS) - Tech firms in Penang; Malaysia's one-time Silicon Valley of the East; swimming in orders from customers fleeing trade war-hit China; have seen fortunes turn again in the space of just a year as the coronavirus outbreak cuts them off from Ch…,https://www.straitstimes.com/business/economy/in-penang-fortunes-flip-for-tech-firms-as-coronavirus-wrecks-trade-war-gains,Business
Coronavirus: WHO praises Singapore's containment of Covid-19 outbreak,Straitstimes.com,10/3/2020,"Singapore is a good example of an all-of-government approach - Prime Minister Lee Hsien Loong's regular videos are helping to explain the risks and reassure people;" said Dr Tedros.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-who-praises-singapores-containment-of-covid-19-outbreak,Singapore
Singapore business confidence falls to record low on coronavirus worries: Survey - The Straits Times,Straitstimes.com,10/3/2020,Business sentiment tumbled to -7.88 percentage points in Q2 2020 from 5.31 percentage points in Q1 2020 as all six of the study's indicators reported negative numbers.. Read more at straitstimes.com.,https://www.straitstimes.com/business/economy/singapore-business-confidence-falls-to-record-low-on-coronavirus-worries-survey,Business
Coronavirus: Passengers begin disembarking from Costa Fortuna ship at Marina Bay Cruise Centre,Straitstimes.com,10/3/2020,The first group of passengers left the ship at about 8.40am and were then escorted by officials to a waiting bus.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/coronavirus-cruise-ship-turned-away-at-other-ports-docks-at-marina-bay-cruise,Singapore
S'pore will continue to accept cruise ships despite higher risk of spread,Straitstimes.com,9/3/2020,Singapore will continue to accept ships that are based here; including cruise ships; said the Health Ministry's director of medical services Kenneth Mak yesterday.. Read more at straitstimes.com.,https://www.straitstimes.com/singapore/health/spore-will-continue-to-accept-cruise-ships-despite-higher-risk-of-spread,Singapore
Coronavirus: Covid-19 likely to last till end-2020 at least: Experts,Straitstimes.com,9/3/2020,SINGAPORE - The number of people diagnosed with Covid-19 is growing around the world; and as the epicentre of the outbreak shifts away from China; it is unlikely that the disease will taper off like Sars did; said experts on Monday (March 9).. Read more at st…,https://www.straitstimes.com/singapore/health/coronavirus-covid-19-likely-to-last-till-end-2020-at-least-experts,Singapore
Singtel freezing wages of all staff this year; except for operational and support workers,Straitstimes.com,9/3/2020,Group chief executive Chua Sock Koong said that the company needed to brace itself for uncertainty because of the coronavirus outbreak and the weak business sentiment.. Read more at straitstimes.com.,https://www.straitstimes.com/business/companies-markets/singtel-freezing-wages-of-all-staff-this-year-except-for-operational-and,Business
Coronavirus: Philippines declares health emergency amid fears of community spread,Straitstimes.com,9/3/2020,MANILA - The Philippines has declared a "health emergency" amid growing anxiety that a deadly coronavirus is already spreading undetected in the capital Manila and in nearby suburbs.. Read more at straitstimes.com.,https://www.straitstimes.com/asia/se-asia/coronavirus-philippines-declares-health-emergency-amid-fears-of-community-spread,World
Covid 19: Italian cruise ship will dock in Singapore as scheduled; passengers to undergo health checks before disembarking,Straitstimes.com,9/3/2020,Covid 19: Italian cruise ship will dock in Singapore as scheduled; passengers to undergo health checks before disembarking straitstimes.com,https://www.straitstimes.com/singapore/transport/italian-cruise-ship-rejected-by-thailand-malaysia-over-covid-19-fears-will-dock,Singapore
Sats announces more pay cuts; warns of 'substantial' financial hit from coronavirus,Straitstimes.com,9/3/2020,SINGAPORE (THE BUSINESS TIMES) - Sats on Monday (March 9) announced a 15 per cent pay cut for its president and chief executive Alex Hungate amid a series of further cuts which took effect from March 1. Non-executive directors' fees were also reduced by 15 pe…,https://www.straitstimes.com/business/companies-markets/sats-announces-more-pay-cuts-warns-of-substantial-financial-hit-from,Business
Oil dives 31% in worst loss since 1991 Gulf War as price war erupts; stock futures plunge,Straitstimes.com,8/3/2020,Asian share markets were also set for a beating on Monday; with Nikkei futures down 4.5 per cent and trading 1;200 points below the cash close on Friday.. Read more at straitstimes.com.,https://www.straitstimes.com/business/companies-markets/oil-dives-31-in-worst-loss-since-1991-gulf-war-as-price-war-erupts-stock,Business
More 'aggressive' Covid-19 strain more prevalent in Wuhan: Study - The Straits Times,Straitstimes.com,8/3/2020,More 'aggressive' Covid-19 strain more prevalent in Wuhan: Study The Straits Times WHO statement on cases of COVID-19 surpassing 100 000 World Health Organization Opinion | It makes no sense for us to panic over the coronavirus Livemint Scientists may have fo…,https://www.straitstimes.com/asia/east-asia/more-aggressive-covid-19-strain-more-prevalent-in-wuhan-study,World
