Title, Source, Date, Content, URL, Category, Classification, Relevance
Britons warned some coronavirus lockdown measures could last months,Channelnewsasia.com,29/3/2020,LONDON: Some lockdown measures to combat coronavirus in Britain could last months and only be gradually lifted; a senior medical official said on Sunday (Mar 29) as Prime Minister Boris Johnson warned the situation will get worse before it gets better. Britai…,https://www.channelnewsasia.com/news/world/britons-warned-coronavirus-lockdown-measures-months-12587896,World,politics - government - ministers (government),100
US sees 518 new coronavirus deaths in 24 hours,Channelnewsasia.com,29/3/2020,WASHINGTON: The US recorded 518 new coronavirus-linked deaths in the span of 24 hours; according to data published on Sunday (Mar 29) by Johns Hopkins University.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-united-states-deaths-toll-12588232,World,,0
US sees 518 new coronavirus deaths in 24 hours,Channelnewsasia.com,29/3/2020,WASHINGTON: The US recorded 518 new coronavirus-linked deaths in the span of 24 hours; according to data published on Sunday (Mar 29) by Johns Hopkins University.,https://www.channelnewsasia.com/news/world/us-sees-518-new-coronavirus-deaths-in-24-hours-12588232,World,,0
Canada's Trudeau remains in isolation after wife recovers from coronavirus,Channelnewsasia.com,29/3/2020,MONTREAL: Canadian Prime Minister Justin Trudeau said on Sunday (Mar 29) that he would remain in self-imposed isolation even though his wife; who had contracted the coronavirus; has recovered. Although Sophie Gregoire Trudeau received the all-clear from her p…,https://www.channelnewsasia.com/news/world/canada-trudeau-isolation-wife-recovers-coronavirus-covid-19-12588218,World,,0
Moscow mayor orders all residents to stay at home,Channelnewsasia.com,29/3/2020,MOSCOW: Moscow's mayor announced strict isolation rules for the city from Monday; the latest in a series of measures introduced in Russia to fight the spread of the coronavirus. The new restrictions would apply to all the city's residents; regardless of age; …,https://www.channelnewsasia.com/news/world/moscow-mayor-orders-all-residents-stay-home-coronavirus-covid-19-12588186,World,politics - local authority,100
Trump says US will not pay for security protection for Prince Harry,Channelnewsasia.com,29/3/2020,WASHINGTON: President Donald Trump said on Sunday (Mar 29) that the United States would not pay for security protection for Britain's Prince Harry and his wife; Meghan; who; according to media reports; have settled in Los Angeles. Trump wrote on Twitter that …,https://www.channelnewsasia.com/news/world/trump-pay-security-protection-for-prince-harry-coronavirus-12588182,World,human interest - people - celebrity,100
South Africa records second coronavirus death as infections jump to 1;280,Channelnewsasia.com,29/3/2020,JOHANNESBURG: South Africa's confirmed cases of the coronavirus increased by 93 to 1;280 people on Sunday (Mar 29) and the death toll doubled to two; the Health Ministry said; as the country entered the third day of a national lockdown and officials announced…,https://www.channelnewsasia.com/news/world/south-africa-records-second-coronavirus-death-infections-12588210,World,social issue - death and dying,100
With PM Johnson ill; coronavirus strikes at heart of British politics,Channelnewsasia.com,29/3/2020,LONDON: Hours after Prime Minister Boris Johnson revealed on Friday he had the coronavirus; his health minister said he did too; and England's chief medical officer announced he also had symptoms. It isn't a huge surprise. There can be no way to know if they …,https://www.channelnewsasia.com/news/world/johnson-ill-coronavirus-strikes-heart-of-british-politics-12587966,World,politics - government - ministers (government),100
COVID-19: Three months that shook global markets,Channelnewsasia.com,29/3/2020,LONDON: How much damage has COVID-19 and the oil price collapse inflicted on global financial markets this year? Put simply; it has probably been the most destructive sell-off since the Great Depression. The numbers have been staggering. US$15 trillion has be…,https://www.channelnewsasia.com/news/business/covid-19-coronavirus-three-months-shook-global-markets-12588140,Business,economy; business and finance - energy and resource - oil and gas (upstream activities),100
In China; walled up Wuhan awaits life beyond the barricades,Channelnewsasia.com,29/3/2020,WUHAN; China: The bright yellow barricades snake through the streets of Wuhan; dividing up the epicentre of China's coronavirus outbreak into segments that can be easily monitored for people disobeying orders to stay home. Separating neighbours and blocking s…,https://www.channelnewsasia.com/news/asia/china-walled-wuhan-life-beyond-barricades-coronavirus-12587690,World,,0
