Title, Source, Date, Content, URL, Category
SIA CEO now says to take 30% pay cut after Temasek’s bailout; his pay was $1.4m with total $5.5m pkg last FY,Theonlinecitizen.com,30/3/2020,Last Thursday (26 Mar); Singapore Airlines (SIA) announced that it had secured up to S$19 billion of funding with the majority coming from Temasek Holdings; to help see it through the coronavirus crisis as demands for air travel dipped. State-fund Temasek Hol…,https://www.theonlinecitizen.com/2020/03/30/sia-ceo-now-says-to-take-30-pay-cut-after-temaseks-bailout-his-pay-was-1-4m-with-total-5-5m-pkg-last-fy/,Business
STI slid 2.4%; shares fell following monetary easing by MAS,Theonlinecitizen.com,30/3/2020,Following the adjustment on the country’s exchange rate-based monetary policy on Monday (30 March) morning by the Monetary Authority of Singapore (MAS); Singapore stocks started off the morning weaker. The SGD has been restored to a neutral stance by MAS; all…,https://www.theonlinecitizen.com/2020/03/30/sti-slid-2-4-shares-fell-following-monetary-easing-by-mas/,Business
Singaporeans invited to clap for frontliners tonight at 8pm to show appreciation,Theonlinecitizen.com,30/3/2020,In light of the COVID-19 pandemic; the people in the frontlines have been risking their lives to protect the people and combat the outbreak. British expat in Singapore; Martin Verga; invited all Singaporeans to a special movement that will take place in our h…,https://www.theonlinecitizen.com/2020/03/30/singaporeans-invited-to-clap-for-frontlines-tonight-at-8pm-to-show-appreciation/,Singapore
67% disagree to holding elections during the pandemic; according to poll by Lianhe Zaobao,Theonlinecitizen.com,30/3/2020,According to a poll by Chinese daily Lianhe Zaobao on their website; 67.55 percent of 11;635 people disagreed on holding an election during the ongoing coronavirus pandemic as it would be difficult to hold rallies given the current restrictions in place to cu…,https://www.theonlinecitizen.com/2020/03/30/67-disagree-to-holding-elections-during-the-pandemic-according-to-poll-by-lianhe-zaobao/,Singapore
PAP’s eagerness for a general election during global pandemic may create unhelpful speculation for the government,Theonlinecitizen.com,30/3/2020,The COVID-19 spread in Singapore appears to be on the up with reports that an additional 42 cases have been reported in Yishun. Of these new cases; 18 are local with no recent travel history which could indicate the possibility of a community spread. On top o…,https://www.theonlinecitizen.com/2020/03/30/paps-eagerness-for-a-general-election-during-global-pandemic-may-create-unhelpful-speculation-for-the-government/,Singapore
Over 7;500 hotel rooms in S’pore booked by govt to accommodate returnees serving Stay-Home Notices,Theonlinecitizen.com,30/3/2020,Over 7;500 hotel rooms in Singapore have been booked by the Government to accommodate residents who have been served the mandatory 14-day Stay-Home Notices (SHNs). Branding the move “a massive response” to the spike in confirmed COVID-19 cases in Singapore; p…,https://www.theonlinecitizen.com/2020/03/30/over-7500-hotel-rooms-in-spore-booked-by-govt-to-accommodate-returnees-serving-stay-home-notices/,Singapore
Trump ditches hopes of quick virus bounce-back for US,Theonlinecitizen.com,30/3/2020,by Ben Sheppard and AFP bureaus President Donald Trump on Sunday abandoned his timetable for life returning to normal in the United States; extending emergency coronavirus restrictions for another month; while Spain suffered its deadliest day. Trump; who had …,https://www.theonlinecitizen.com/2020/03/30/trump-ditches-hopes-of-quick-virus-bounce-back-for-us/,World
MAS lowers currency band to zero in monetary easing move,Theonlinecitizen.com,30/3/2020,Earlier this morning (30 March); the central bank of Singapore; Monetary Authority of Singapore (MAS) has drawn back on its exchange rate-based monetary policy; a move that the market has expected in the midst of COVID-19 wracking the world economy. The SGD h…,https://www.theonlinecitizen.com/2020/03/30/mas-lowers-currency-band-to-zero-in-monetary-easing-move/,Business
Cruise company still searching for port for virus ship,Theonlinecitizen.com,30/3/2020,by Juan José Rodríguez Passengers on a virus-stricken cruise liner entered the Panama Canal in Central America Sunday after they were told the company was still searching for a port which will allow them to disembark; even as they pleaded for help. The Panama…,https://www.theonlinecitizen.com/2020/03/30/cruise-company-still-searching-for-port-for-virus-ship/,World
42 additional cases of COVID-19 infection; 10 unlinked cases and new cluster at bridal shop in Yishun,Theonlinecitizen.com,29/3/2020,As of 29 March 2020; 12pm; the Ministry of Health (MOH) has confirmed and verified an additional 42 cases of COVID-19 infection in Singapore; of which 24 are imported and 18 are local cases who have no recent travel history abroad. This makes a total of 844 c…,https://www.theonlinecitizen.com/2020/03/29/42-additional-cases-of-covid-19-infection-10-unlinked-cases-and-new-cluster-at-bridal-shop-in-yishun/,Singapore
Family of third COVID-19 fatality asks public to remember the deceased by being socially responsible,Theonlinecitizen.com,29/3/2020,The family of COVID-19’s third fatality in Singapore thanked fellow Singaporeans for their well wishes; following the news of the passing on Sunday (29 March). “We thank you for your well wishes. It is unfortunate that my dad has succumbed to Covid19; after h…,https://www.theonlinecitizen.com/2020/03/29/family-of-third-covid-19-fatality-asks-public-to-remember-the-deceased-by-being-socially-responsible/,Singapore
