Title, Source, Date, Content, URL, Category
New Zealand extends state of emergency to stop spread of COVID-19,Channelnewsasia.com,31/3/2020,WELLINGTON: New Zealand is extending the state of national emergency for a further seven days to help stop the spread of COVID-19; the Minister of Civil Defence Peeni Henare said in a statement on Tuesday (Mar 31).,https://www.channelnewsasia.com/news/world/covid-19-new-zealand-extends-state-of-emergency-12591942,World
Trump says US to send medical supplies to Italy; France; Spain,Channelnewsasia.com,31/3/2020,President Donald Trump said Monday that the United States will send medical equipment for combating the coronavirus pandemic to Italy and later France and Spain.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-donald-trump-medical-supplies-12591926,World
Activist investor Starboard says it has 9.3per cent stake in software firm Commvault,Channelnewsasia.com,30/3/2020,Activist investor Starboard Value LP has built a stake in U.S. data protection and data management software company Commvault; saying in a regulatory filing that it felt the shares were undervalued when it purchased them.,https://www.channelnewsasia.com/news/business/activist-investor-starboard-says-it-has-9-3per-cent-stake-in-software-firm-commvault-12591950,Business
Activist investor Starboard says it has 9.3% stake in software firm Commvault,Channelnewsasia.com,30/3/2020,Activist investor Starboard Value has built a stake in U.S. data protection and data management software company Commvault; saying in a regulatory filing that it felt the shares were undervalued when it purchased them.,https://www.channelnewsasia.com/news/business/activist-investor-starboard-says-it-has-9-3-stake-in-software-12591950,Business
American Airlines seeking up to US$12 billion from aid package: memo,Channelnewsasia.com,30/3/2020,American Airlines Holdings Inc  intends to apply for up to US$12 billion government aid; ensuring no involuntary layoffs or pay cuts in the next six months; executives said in a memo to employees on Monday.,https://www.channelnewsasia.com/news/business/american-airlines-seeking-up-to-us-12-billion-from-aid-package--memo-12591830,Business
Trump says COVID-19 guidelines may get tougher; 1 million Americans tested,Channelnewsasia.com,30/3/2020,US President Donald Trump said on Monday (Mar 30) that federal social distancing guidelines might be toughened and travel restrictions with China and Europe would stay in place as he urged Americans to help fight the coronavirus with tough measures through Ap…,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-united-states-donald-trump-12591784,World
Australia enacts sweeping lockdown powers to combat COVID-19 spread,Channelnewsasia.com,30/3/2020,SYDNEY: People in Australia's most populous state of New South Wales; the epicentre of the coronavirus outbreak in Australia; could be heavily fined or jailed for leaving their home without a good reason from Tuesday (Mar 31) under sweeping new powers designe…,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-australia-lockdown-fine-jail-12591918,World
US judge stops Texas from curbing abortions during coronavirus crisis,Channelnewsasia.com,30/3/2020,A U.S. judge on Monday blocked Texas officials from banning most abortions in the state as part of their order to postpone surgeries and procedures deemed not medically necessary during the coronavirus crisis.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-united-states-texas-abortion-12591718,World
Airlines line up furloughs; Air New Zealand sees smaller carrier in a year,Channelnewsasia.com,30/3/2020,Major global airlines projected layoffs; furloughs and capacity cuts over the next few months; with Air New Zealand warning that it expected staffing levels to be 30per cent smaller than it is now; due to the coronavirus pandemic.,https://www.channelnewsasia.com/news/business/airlines-line-up-furloughs--air-new-zealand-sees-smaller-carrier-in-a-year-12591922,Business
In first; UN Security Council approves resolutions remotely,Channelnewsasia.com,30/3/2020,The UN Security Council on Monday for the first time approved resolutions remotely after painstaking negotiations among diplomats who are teleworking due to the coronavirus pandemic.,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-un-united-nations-remote-working-12591898,World
Coronavirus could force GM to delay its redesigned 2021 SUVs,Channelnewsasia.com,30/3/2020,DETROIT: General Motors Co told suppliers on Monday (Mar 30) that it is postponing work on at least half a dozen future models to conserve cash during the coronavirus pandemic and could delay the planned launch in late April of its highly profitable large spo…,https://www.channelnewsasia.com/news/business/coronavirus-force-gm-delay-redesigned-2021-suvs-12591748,Business
US grocers add plexiglass sneeze guards to protect cashiers from coronavirus,Channelnewsasia.com,30/3/2020,LOS ANGELES: Kroger Co; Walmart Inc; Albertsons and other grocery sellers are installing plexiglass partitions at checkout counters to protect cashiers from the highly contagious coronavirus. The shields are designed to block virus-containing droplets - relea…,https://www.channelnewsasia.com/news/business/grocers-plexiglass-sneeze-guards-cashiers-coronavirus-covid-19-12591812,Business
Airbnb to allocate US$250m to hosts to help ease coronavirus cancelled bookings,Channelnewsasia.com,30/3/2020,REUTERS: Airbnb said on Monday (Mar 30) it was allocating US$250 million to help offset losses by hosts around the world whose guests have cancelled bookings in the face of the coronavirus pandemic; following its announcement earlier this month that guests co…,https://www.channelnewsasia.com/news/business/airbnb-allocate-hosts-help-ease-coronavirus-cancelled-bookings-12591816,Business
Spirit cancels New York; Connecticut; New Jersey flights after CDC warning,Channelnewsasia.com,30/3/2020,Low-cost U.S. carrier Spirit Airlines Inc said on Monday it will cancel all flights to and from New York; Connecticut and New Jersey after U.S. officials warned against travel to the area because of the COVID-19 pandemic.,https://www.channelnewsasia.com/news/business/spirit-cancels-new-york--connecticut--new-jersey-flights-after-cdc-warning-12591848,Business
Japan destroyer; China fishing boat collide in sea off Shanghai,Channelnewsasia.com,30/3/2020,TOKYO: A Japanese naval destroyer and a Chinese fishing boat have collided in the sea off Shanghai but there were no injuries; Japanese media reported early on Tuesday (Mar 31). The destroyer Shimakaze; from Japan's Maritime Self-Defence Force; received damag…,https://www.channelnewsasia.com/news/asia/japan-china-boat-collide-sea-shanghai-military-12591426,World
France sees worst daily death toll as army ferries critical coronavirus patients,Channelnewsasia.com,30/3/2020,STRASBOURG: France recorded its worst daily coronavirus death toll on Monday (Mar 30); exceeding 3;000 for the first time; and army helicopters transported critical patients from the east to hospitals overseas as the country battled to free up space in life-s…,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-france-death-toll-cases-12590956,World
Italy to extend coronavirus lockdown until Easter as new cases fall,Channelnewsasia.com,30/3/2020,ROME: Italy's government on Monday (Mar 30) said it would extend its nationwide lockdown measures against a coronavirus outbreak; due to end on Friday; at least until the Easter season in April; as the number of new infections declines. "The evaluation was to…,https://www.channelnewsasia.com/news/world/coronavirus-covid-19-italy-lockdown-easter-cases-12591216,World
American Airlines to apply for up to US$12 billion in government aid: memo,Channelnewsasia.com,30/3/2020,American Airlines Holdings Inc  intends to apply for up to US$12 billion government aid; ensuring no involuntary layoffs or pay cuts in the next six months; executives said in a memo to employees on Monday.,https://www.channelnewsasia.com/news/business/american-airlines-to-apply-for-up-to-us-12-billion-in-government-aid--memo-12591830,Business
KFC owner Yum Brands breaks junk debt market's fast,Channelnewsasia.com,30/3/2020,Yum Brands Inc ; owner of Pizza Hut; KFC and Taco Bell restaurant chains; sold US$600 million in bonds on Monday; reopening the U.S. market for junk-rated debt issues after its longest lull since the 2008 financial crisis.,https://www.channelnewsasia.com/news/business/kfc-owner-yum-brands-breaks-junk-debt-market-s-fast-12591824,Business
